bookid,book_title,pubid,authorname,Category,Date_of_Arrival,Book_Status
51,Pet Sematary,114,Stephen King,Novels,2024-06-01,Not-Available
52,The Excorcist,112,William Peter Blatty,Novels,2024-06-03,Not-Available
53,Bird Box,105,Josh Malerman,Novels,2024-06-07,Not-Available
54,House Of Leaves,104,Mark Z.Danielewski,Novels,2024-06-11,Not-Available
55,The Silence Of The Lamps,103,Thomas Harris,Novels,2024-06-13,Not-Available
56,The Notebook,106,Nicholas Sparks,Novels,2024-06-17,Not-Available
57,Outlander,108,Diana Gabaldon,Novels,2024-06-19,Not-Available
58,Me Before You,109,Jojo Moyes,Novels,2024-06-23,Not-Available
59,The Quantum Enigma,113,Dr. Emily Hart,Geography,2024-06-26,Not-Available
60,Echoes of the Past,115,Michael Reed,Novels,2024-06-28,Not-Available
61,Mastering Python,114,Lisa Johnson,Domain,2024-07-03,Not-Available
62,The Enchanted Forest,112,Sarah Miller,Novels,2024-07-05,Not-Available
63,Data Science for Beginners,105,Kevin Liu,Domain,2024-07-07,Not-Available
64,Journey to the Unknown,104,Amanda Cruz,Geography,2024-07-09,Not-Available
65,The Art of Mindfulness,103,Rebecca White,Novels,2024-07-11,Not-Available
66,Understanding Machine Learning,106,David Patel,Domain,2024-07-13,Not-Available
67,Secrets of the Ocean,108,Laura Bennett,Geography,2024-07-15,Not-Available
68,Whispers in the Dark,109,Tom Harris,Novels,2024-07-17,Not-Available
69,The Silent Sea,113,Emma Collins,Literature,2024-07-19,Not-Available
70,The Last Horizon,115,Samuel Green,Literature,2024-07-21,Not-Available
71,Beneath the Willow Tree,114,Olivia Brooks,Literature,2024-07-23,Not-Available
72,Shadows of the Heart,112,Daniel Morgan,Literature,2024-07-25,Not-Available
73,The Forgotten Song,105,Hannah Lee,Literature,2024-07-27,Not-Available
74,Echoes of Eternity,104,James Turner,Literature,2024-07-29,Not-Available
75,The Illusion of Time,103,Isabella Wright,Literature,2024-07-31,Not-Available
76,A Glimpse of Dawn,106,William Scott,Literature,2024-08-01,Not-Available
77,Threads of Destiny,108,Sophia Adams,Literature,2024-08-02,Not-Available
78,Whispers of the Past,109,Andrew Thompson,Literature,2024-08-02,Not-Available
79,World Atlas,113,Robert Anderson,Geography,2024-08-03,Not-Available
80,Exploring Continents,115,Karen Lewis,Geography,2024-08-04,Not-Available
81,Geography of the Earth,114,Michael Carter,Geography,2024-08-05,Not-Available
82,The Global Climate,112,Jessica Hayes,Geography,2024-08-05,Not-Available
83,Landscapes and Regions,105,David Brown,Geography,2024-08-05,Not-Available
84,Rivers and Mountains,104,Emily Robinson,Geography,2024-08-06,Not-Available
85,Human Geography: Patterns and Processes,103,James King,Geography,2024-08-07,Not-Available
86,Cities of the World,107,Linda White,Geography,2024-08-08,Not-Available
87,Geographic Information Systems,108,Thomas Evans,Geography,2024-08-08,Not-Available
88,The Geography of Biodiversity,110,Sarah Turner,Geography,2024-08-09,Not-Available
89,Echoes of Ancient Civilizations,113,Richard Adams,History,2024-08-09,Not-Available
90,The Age of Empires,115,Laura Bennett,History,2024-08-10,Not-Available
91,Chronicles of the Middle Ages,114,Jonathan Clark,History,2024-08-10,Not-Available
92,Revolutions and Reform,112,Emma Thompson,History,2024-08-10,Not-Available
93,World War Chronicles,105,Michael Turner,History,2024-08-11,Not-Available
94,Advanced Data Structures,104,Anna Patel,Domain,2024-08-11,Not-Available
95,Introduction to Cloud Computing,103,Robert Green,Domain,2024-08-12,Not-Available
96,Cybersecurity Essentials,107,Jessica Miller,Domain,2024-08-13,Not-Available
97,Network Security Fundamentals,108,Jason Brown,Domain,2024-08-14,Not-Available
98,Big Data Analytics,110,Laura Green,Domain,2024-08-16,Not-Available
99,Climate and Weather Patterns,113,Karen Turner,Geography,2024-08-17,Not-Available
100,Human Impact on the Environment,115,Emily Johnson,Geography,2024-08-18,Not-Available
